net,length_um
_0226_,6.6µm
deser_B.kept_shift_reg\[27\],6.6µm
deser_B.kept_shift_reg\[66\],6.6µm
_0142_,6.52µm
deser_B.kept_bit_idx\[5\],6.52µm
deser_A.kept_shift_reg\[94\],6.5µm
_0022_,6.48µm
_0211_,6.465µm
_0195_,6.42µm
deser_B.kept_shift_reg\[47\],6.4µm
net495,6.4µm
_0040_,6.38µm
_0058_,6.38µm
_0181_,6.38µm
deser_A.kept_shift_reg\[93\],6.36µm
_0024_,6.3µm
_0291_,6.3µm
deser_B.kept_shift_reg\[45\],6.3µm
deser_B.kept_shift_reg\[59\],6.26µm
_0353_,6.24µm
_0223_,6.18µm
deser_B.kept_shift_reg\[114\],6.18µm
_0062_,6.14µm
_0078_,6.14µm
_0084_,6.14µm
_0120_,6.14µm
_0173_,6.14µm
_0216_,6.14µm
_0399_,6.14µm
deser_A.kept_shift_reg\[77\],6.14µm
deser_B.kept_shift_reg\[87\],6.14µm
deser_B.kept_shift_reg\[113\],6.08µm
_0107_,6.06µm
_0108_,6.06µm
_0178_,6.06µm
_0179_,6.06µm
_0206_,6.06µm
_0481_,6.04µm
deser_A.kept_shift_reg\[35\],6.04µm
_0243_,6.025µm
rst_n,5.97µm
_0028_,5.96µm
_0148_,5.94µm
_0162_,5.94µm
_0400_,5.94µm
_0525_,5.94µm
deser_A.kept_shift_reg\[110\],5.94µm
deser_A.kept_shift_reg\[2\],5.94µm
deser_B.kept_shift_reg\[22\],5.94µm
_0251_,5.92µm
_0326_,5.9µm
_0527_,5.86µm
_0001_,5.84µm
_0083_,5.84µm
_0103_,5.84µm
_0145_,5.84µm
_0289_,5.84µm
_0322_,5.84µm
_0376_,5.84µm
deser_A.kept_shift_reg\[103\],5.84µm
deser_B.kept_shift_reg\[19\],5.84µm
_0150_,5.82µm
net811,5.82µm
_0118_,5.8µm
_0396_,5.74µm
_0131_,5.72µm
_0372_,5.72µm
ser_C.kept_bit_idx\[7\],5.72µm
net496,5.72µm
_0046_,5.68µm
_0069_,5.68µm
_0340_,5.68µm
deser_B.kept_shift_reg\[98\],5.68µm
deser_B.kept_shift_reg\[67\],5.62µm
_0112_,5.6µm
_0155_,5.6µm
_0163_,5.6µm
_0182_,5.6µm
_0490_,5.6µm
_0004_,5.56µm
_0129_,5.5µm
_0485_,5.5µm
_0077_,5.46µm
_0279_,5.46µm
_0394_,5.46µm
_0414_,5.46µm
_0160_,5.41µm
_0498_,5.4µm
_0101_,5.38µm
_0110_,5.38µm
_0153_,5.38µm
_0249_,5.38µm
_0288_,5.38µm
_0316_,5.38µm
_0328_,5.38µm
_0437_,5.38µm
_0466_,5.36µm
_0234_,5.34µm
_0296_,5.34µm
_0460_,5.34µm
_0472_,5.34µm
deser_B.kept_shift_reg\[68\],5.34µm
C_out_frame_sync,5.29µm
C_out_serial_clk,5.29µm
_0099_,5.26µm
_0319_,5.26µm
_0351_,5.26µm
net39,5.26µm
_0140_,5.22µm
_0367_,5.22µm
_0240_,5.185µm
_0056_,5.14µm
_0149_,5.14µm
_0246_,5.065µm
